video_id,ped_id,frame,time_s,x_px,y_px,visibility,notes,x_m,y_m
teams_video,P01,150,5.0,73.0,943.0,tracked,P1; LK optical flow; initial coords.py click,2.4010422229766846,0.8210298418998718
teams_video,P06,210,7.0,292.1861572265625,473.5174255371094,tracked,P6; LK optical flow; sampled tracked point,12.834190368652344,53.80550003051758
teams_video,P07,210,7.0,294.2658996582031,429.5718078613281,tracked,P7; LK optical flow; sampled tracked point,13.168669700622559,63.133453369140625
teams_video,P08,210,7.0,403.03118896484375,438.4979248046875,tracked,P8; LK optical flow; sampled tracked point,21.753820419311523,60.77798843383789
teams_video,P09,210,7.0,460.1639709472656,564.0791625976562,tracked,P9; LK optical flow; sampled tracked point,23.534015655517578,37.87288284301758
teams_video,P10,210,7.0,437.0111999511719,526.3807373046875,tracked,P10; LK optical flow; sampled tracked point,22.657318115234375,43.8675422668457
teams_video,P01,225,7.5,148.2542724609375,819.1426391601562,tracked,P1; LK optical flow; sampled tracked point,5.036670207977295,9.864023208618164
teams_video,P02,225,7.5,335.5968933105469,618.2682495117188,tracked,P2; LK optical flow; sampled tracked point,15.071142196655273,30.511518478393555
teams_video,P03,225,7.5,345.5533752441406,476.10552978515625,tracked,P3; LK optical flow; sampled tracked point,16.815248489379883,53.1532096862793
teams_video,P04,225,7.5,218.18917846679688,565.4557495117188,tracked,P4; LK optical flow; sampled tracked point,7.681796550750732,38.09810256958008
teams_video,P05,225,7.5,198.89498901367188,454.076171875,tracked,P5; LK optical flow; sampled tracked point,5.631069660186768,58.04806137084961
teams_video,P06,225,7.5,290.8966064453125,475.0585021972656,tracked,P6; LK optical flow; sampled tracked point,12.731982231140137,53.50531005859375
teams_video,P07,225,7.5,298.1359558105469,427.23468017578125,tracked,P7; LK optical flow; sampled tracked point,13.493142127990723,63.656253814697266
teams_video,P08,225,7.5,404.2472229003906,437.5659484863281,tracked,P8; LK optical flow; sampled tracked point,21.867355346679688,60.9793586730957
teams_video,P09,225,7.5,464.244873046875,567.8985595703125,tracked,P9; LK optical flow; sampled tracked point,23.729761123657227,37.29780197143555
teams_video,P10,225,7.5,439.1969909667969,528.4364013671875,tracked,P10; LK optical flow; sampled tracked point,22.770809173583984,43.52146911621094
teams_video,P01,240,8.0,161.39813232421875,801.4992065429688,tracked,P1; LK optical flow; sampled tracked point,5.587737560272217,11.33914852142334
teams_video,P02,240,8.0,339.4166564941406,624.2659301757812,tracked,P2; LK optical flow; sampled tracked point,15.268007278442383,29.731788635253906
teams_video,P03,240,8.0,346.2654113769531,474.7602844238281,tracked,P3; LK optical flow; sampled tracked point,16.881689071655273,53.414512634277344
teams_video,P04,240,8.0,220.91700744628906,558.600830078125,tracked,P4; LK optical flow; sampled tracked point,7.835128307342529,39.13718795776367
teams_video,P05,240,8.0,210.85081481933594,452.4107971191406,tracked,P5; LK optical flow; sampled tracked point,6.555379867553711,58.365386962890625
teams_video,P06,240,8.0,290.7568664550781,476.6395568847656,tracked,P6; LK optical flow; sampled tracked point,12.716239929199219,53.19564437866211
teams_video,P07,240,8.0,301.225830078125,425.3994140625,tracked,P7; LK optical flow; sampled tracked point,13.753833770751953,64.06944274902344
teams_video,P08,240,8.0,405.28424072265625,436.82806396484375,tracked,P8; LK optical flow; sampled tracked point,21.963361740112305,61.13898849487305
teams_video,P09,240,8.0,466.7612609863281,571.6951904296875,tracked,P9; LK optical flow; sampled tracked point,23.82330894470215,36.734920501708984
teams_video,P10,240,8.0,442.1319885253906,530.784423828125,tracked,P10; LK optical flow; sampled tracked point,22.92946434020996,43.12787628173828
teams_video,P01,255,8.5,172.47610473632812,781.5721435546875,tracked,P1; LK optical flow; sampled tracked point,6.043248653411865,13.073517799377441
teams_video,P02,255,8.5,341.4043884277344,631.5595092773438,tracked,P2; LK optical flow; sampled tracked point,15.344087600708008,28.803388595581055
teams_video,P03,255,8.5,346.8431396484375,473.6202087402344,tracked,P3; LK optical flow; sampled tracked point,16.936290740966797,53.636898040771484
teams_video,P04,255,8.5,223.4192352294922,552.1092529296875,tracked,P4; LK optical flow; sampled tracked point,7.977609634399414,40.13980484008789
teams_video,P05,255,8.5,222.1483154296875,451.0285949707031,tracked,P5; LK optical flow; sampled tracked point,7.4336042404174805,58.625648498535156
teams_video,P06,255,8.5,291.449462890625,479.34759521484375,tracked,P6; LK optical flow; sampled tracked point,12.75894546508789,52.6663703918457
teams_video,P07,255,8.5,302.5318603515625,423.1153869628906,tracked,P7; LK optical flow; sampled tracked point,13.872956275939941,64.595947265625
teams_video,P08,255,8.5,406.3841247558594,436.4473876953125,tracked,P8; LK optical flow; sampled tracked point,22.05769157409668,61.21968078613281
teams_video,P09,255,8.5,470.8664245605469,576.2470092773438,tracked,P9; LK optical flow; sampled tracked point,24.003633499145508,36.0660514831543
teams_video,P10,255,8.5,444.3611145019531,533.3103637695312,tracked,P10; LK optical flow; sampled tracked point,23.035871505737305,42.70943832397461
teams_video,P01,270,9.0,179.19189453125,763.61767578125,tracked,P1; LK optical flow; sampled tracked point,6.301239967346191,14.702343940734863
teams_video,P02,270,9.0,344.3371887207031,640.8753662109375,tracked,P2; LK optical flow; sampled tracked point,15.462544441223145,27.641996383666992
teams_video,P03,270,9.0,347.0578308105469,472.5208435058594,tracked,P3; LK optical flow; sampled tracked point,16.963443756103516,53.853023529052734
teams_video,P04,270,9.0,227.48843383789062,546.0720825195312,tracked,P4; LK optical flow; sampled tracked point,8.230572700500488,41.085391998291016
teams_video,P05,270,9.0,233.66009521484375,449.66864013671875,tracked,P5; LK optical flow; sampled tracked point,8.331914901733398,58.88142013549805
teams_video,P06,270,9.0,291.82440185546875,481.9296569824219,tracked,P6; LK optical flow; sampled tracked point,12.778128623962402,52.16669464111328
teams_video,P07,270,9.0,304.311767578125,421.0282897949219,tracked,P7; LK optical flow; sampled tracked point,14.03072452545166,65.07860565185547
teams_video,P08,270,9.0,406.8172912597656,436.5243225097656,tracked,P8; LK optical flow; sampled tracked point,22.090486526489258,61.20125961303711
teams_video,P09,270,9.0,472.33465576171875,581.2445678710938,tracked,P9; LK optical flow; sampled tracked point,24.00636100769043,35.346378326416016
teams_video,P10,270,9.0,447.7516174316406,536.28173828125,tracked,P10; LK optical flow; sampled tracked point,23.21196174621582,42.21965026855469
teams_video,P01,285,9.5,188.46697998046875,747.4136962890625,tracked,P1; LK optical flow; sampled tracked point,6.7123026847839355,16.225183486938477
teams_video,P02,285,9.5,341.5627746582031,651.72900390625,tracked,P2; LK optical flow; sampled tracked point,15.235434532165527,26.330467224121094
teams_video,P03,285,9.5,347.1556701660156,471.9737548828125,tracked,P3; LK optical flow; sampled tracked point,16.976316452026367,53.96088409423828
teams_video,P04,285,9.5,229.87001037597656,540.4442749023438,tracked,P4; LK optical flow; sampled tracked point,8.373832702636719,41.984275817871094
teams_video,P05,285,9.5,245.3546142578125,449.51739501953125,tracked,P5; LK optical flow; sampled tracked point,9.250529289245605,58.8780403137207
teams_video,P06,285,9.5,291.9951477050781,484.7817687988281,tracked,P6; LK optical flow; sampled tracked point,12.781145095825195,51.62009811401367
teams_video,P07,285,9.5,305.69366455078125,419.9779357910156,tracked,P7; LK optical flow; sampled tracked point,14.15048599243164,65.32110595703125
teams_video,P08,285,9.5,407.60333251953125,436.8968200683594,tracked,P8; LK optical flow; sampled tracked point,22.145456314086914,61.11635971069336
teams_video,P09,285,9.5,476.0302429199219,587.5125122070312,tracked,P9; LK optical flow; sampled tracked point,24.126272201538086,34.45453643798828
teams_video,P10,285,9.5,449.8020935058594,539.70849609375,tracked,P10; LK optical flow; sampled tracked point,23.288061141967773,41.66382598876953
teams_video,P01,300,10.0,193.97047424316406,733.968017578125,tracked,P1; LK optical flow; sampled tracked point,6.947329044342041,17.532310485839844
teams_video,P02,300,10.0,338.0395202636719,664.4065551757812,tracked,P2; LK optical flow; sampled tracked point,14.961465835571289,24.842554092407227
teams_video,P03,300,10.0,347.2680969238281,471.27166748046875,tracked,P3; LK optical flow; sampled tracked point,16.991880416870117,54.099613189697266
teams_video,P04,300,10.0,234.00405883789062,535.368408203125,tracked,P4; LK optical flow; sampled tracked point,8.641698837280273,42.80339813232422
teams_video,P05,300,10.0,257.4563903808594,449.29632568359375,tracked,P5; LK optical flow; sampled tracked point,10.200572967529297,58.88837432861328
teams_video,P06,300,10.0,291.3359375,488.051513671875,tracked,P6; LK optical flow; sampled tracked point,12.721691131591797,51.00162887573242
teams_video,P07,300,10.0,306.10528564453125,418.4434509277344,tracked,P7; LK optical flow; sampled tracked point,14.193833351135254,65.6825942993164
